qseqid	PS
XP_003708834.1	12
XP_003708835.1	1
XP_003708836.1	1
XP_003708837.1	11
XP_003708838.1	1
XP_003708839.1	11
XP_003708840.1	1
XP_003708841.1	1
XP_003708842.1	12
XP_003708843.1	11
XP_003708844.1	11
XP_003708845.1	12
XP_003708846.1	1
XP_003708847.1	2
XP_003708848.1	12
XP_003708849.1	12
XP_003708850.1	12
XP_003708851.1	6
XP_003708852.1	11
XP_003708853.1	6
XP_003708854.1	1
XP_003708855.1	2
XP_003708856.1	1
XP_003708857.1	12
XP_003708858.1	1
XP_003708859.1	3
XP_003708860.1	11
XP_003708861.1	11
XP_003708862.1	1
XP_003708863.1	1
XP_003708864.1	1
XP_003708865.1	1
XP_003708866.1	11
XP_003708867.1	1
XP_003708868.1	2
XP_003708869.1	12
XP_003708870.1	1
XP_003708871.1	11
XP_003708872.1	11
XP_003708873.1	1
XP_003708874.1	3
XP_003708875.1	1
XP_003708876.1	11
XP_003708877.1	1
XP_003708878.1	11
XP_003708879.1	6
XP_003708880.1	1
XP_003708881.1	11
XP_003708882.1	4
XP_003708883.1	1
XP_003708884.1	1
XP_003708885.1	1
XP_003708886.1	9
XP_003708887.1	11
XP_003708888.1	2
XP_003708889.1	3
XP_003708890.1	1
XP_003708891.1	1
XP_003708892.1	1
XP_003708893.1	11
XP_003708894.1	6
XP_003708895.1	1
XP_003708896.1	1
XP_003708897.1	1
XP_003708898.1	1
XP_003708899.1	1
XP_003708900.1	6
XP_003708901.1	1
XP_003708902.1	12
XP_003708903.1	1
XP_003708904.1	1
XP_003708905.1	3
XP_003708906.1	9
XP_003708907.1	1
XP_003708908.1	12
XP_003708909.1	3
XP_003708910.1	6
XP_003708911.1	1
XP_003708912.1	6
XP_003708913.1	12
XP_003708914.1	12
XP_003708915.1	12
XP_003708916.1	6
XP_003708917.1	1
XP_003708918.1	2
XP_003708919.1	7
XP_003708920.1	11
XP_003708921.1	11
XP_003708922.1	2
XP_003708923.1	11
XP_003708924.1	1
XP_003708925.1	11
XP_003708926.1	6
XP_003708927.1	6
XP_003708928.1	1
XP_003708929.1	6
XP_003708930.1	1
XP_003708931.1	1
XP_003708932.1	1
XP_003708933.1	11
XP_003708934.1	12
XP_003708935.1	12
XP_003708936.1	1
XP_003708937.1	1
XP_003708938.1	1
XP_003708939.1	2
XP_003708940.1	12
XP_003708941.1	12
XP_003708942.1	7
XP_003708943.1	12
XP_003708944.1	11
XP_003708945.1	11
XP_003708946.1	11
XP_003708947.1	11
XP_003708948.1	2
XP_003708949.1	11
XP_003708950.1	1
XP_003708951.1	2
XP_003708952.1	3
XP_003708953.1	4
XP_003708954.1	6
XP_003708955.1	9
XP_003708956.1	1
XP_003708957.1	12
XP_003708958.1	3
XP_003708959.1	1
XP_003708960.1	11
XP_003708961.1	12
XP_003708962.1	1
XP_003708963.1	12
XP_003708964.1	1
XP_003708965.1	11
XP_003708966.1	1
XP_003708967.1	1
XP_003708968.1	12
XP_003708969.1	1
XP_003708970.1	6
XP_003708971.1	11
XP_003708972.1	4
XP_003708973.1	12
XP_003708974.1	1
XP_003708975.1	12
XP_003708976.1	11
XP_003708977.1	12
XP_003708978.1	12
XP_003708979.1	2
XP_003708980.1	6
XP_003708981.1	1
XP_003708982.1	12
XP_003708983.1	12
XP_003708984.1	12
XP_003708985.1	11
XP_003708986.1	11
XP_003708987.1	6
XP_003708988.1	6
XP_003708989.1	11
XP_003708990.1	2
XP_003708991.1	1
XP_003708992.1	2
XP_003708993.1	1
XP_003708994.1	6
XP_003708995.1	12
XP_003708996.1	11
XP_003708997.1	1
XP_003708998.1	11
XP_003708999.1	12
XP_003709000.1	11
XP_003709001.1	11
XP_003709002.1	7
XP_003709003.1	1
XP_003709004.1	1
XP_003709005.1	1
XP_003709006.1	1
XP_003709007.1	6
XP_003709008.1	7
XP_003709009.1	1
XP_003709010.1	1
XP_003709011.1	1
XP_003709012.1	7
XP_003709013.1	1
XP_003709014.1	1
XP_003709015.1	1
XP_003709016.1	12
XP_003709017.1	11
XP_003709018.1	1
XP_003709019.1	2
XP_003709020.1	1
XP_003709021.1	6
XP_003709022.1	12
XP_003709023.1	1
XP_003709024.1	1
XP_003709025.1	1
XP_003709026.1	11
XP_003709027.1	1
XP_003709028.1	1
XP_003709029.1	7
XP_003709030.1	12
XP_003709031.1	1
XP_003709032.1	12
XP_003709033.1	2
XP_003709034.1	12
XP_003709035.1	6
XP_003709036.1	1
XP_003709037.1	2
XP_003709038.1	11
XP_003709039.1	12
XP_003709040.1	1
XP_003709041.1	7
XP_003709042.1	1
XP_003709043.1	1
XP_003709044.1	12
XP_003709045.1	4
XP_003709046.1	6
XP_003709047.1	12
XP_003709048.1	6
XP_003709049.1	6
XP_003709050.1	6
XP_003709051.1	1
XP_003709052.1	1
XP_003709053.1	6
XP_003709054.1	2
XP_003709055.1	1
XP_003709056.1	1
XP_003709057.1	1
XP_003709058.1	11
XP_003709059.1	1
XP_003709060.1	12
XP_003709061.1	1
XP_003709062.1	11
XP_003709063.1	2
XP_003709064.1	11
XP_003709065.1	1
XP_003709066.1	12
XP_003709067.1	1
XP_003709068.1	1
XP_003709069.1	1
XP_003709070.1	12
XP_003709071.1	6
XP_003709072.1	1
XP_003709073.1	12
XP_003709074.1	12
XP_003709075.1	2
XP_003709076.1	1
XP_003709077.1	12
XP_003709078.1	11
XP_003709079.1	12
XP_003709080.1	1
XP_003709081.1	2
XP_003709082.1	3
XP_003709083.1	3
XP_003709084.1	12
XP_003709085.1	1
XP_003709086.1	6
XP_003709087.1	11
XP_003709088.1	1
XP_003709089.1	1
XP_003709090.1	1
XP_003709091.1	1
XP_003709092.1	12
XP_003709093.1	11
XP_003709094.1	1
XP_003709095.1	1
XP_003709096.1	3
XP_003709097.1	6
XP_003709098.1	1
XP_003709099.1	6
XP_003709100.1	12
XP_003709101.1	3
XP_003709102.1	1
XP_003709103.1	12
XP_003709104.1	1
XP_003709105.1	6
XP_003709106.1	8
XP_003709107.1	1
XP_003709108.1	11
XP_003709109.1	1
XP_003709110.1	1
XP_003709111.1	2
XP_003709112.1	2
XP_003709113.1	11
XP_003709114.1	12
XP_003709115.1	1
XP_003709116.1	2
XP_003709117.1	1
XP_003709118.1	1
XP_003709118.1	2
XP_003709119.1	1
XP_003709120.1	1
XP_003709121.1	1
XP_003709122.1	12
XP_003709123.1	11
XP_003709124.1	12
XP_003709125.1	11
XP_003709126.1	11
XP_003709127.1	12
XP_003709128.1	12
XP_003709129.1	2
XP_003709130.1	11
XP_003709131.1	11
XP_003709132.1	1
XP_003709133.1	2
XP_003709134.1	3
XP_003709135.1	1
XP_003709136.1	12
XP_003709137.1	1
XP_003709138.1	11
XP_003709139.1	1
XP_003709140.1	1
XP_003709141.1	6
XP_003709142.1	1
XP_003709143.1	7
XP_003709144.1	12
XP_003709145.1	1
XP_003709146.1	1
XP_003709147.1	12
XP_003709148.1	12
XP_003709149.1	11
XP_003709150.1	11
XP_003709151.1	12
XP_003709152.1	2
XP_003709153.1	1
XP_003709154.1	11
XP_003709155.1	12
XP_003709156.1	12
XP_003709157.1	1
XP_003709158.1	12
XP_003709159.1	11
XP_003709160.1	1
XP_003709161.1	2
XP_003709162.1	2
XP_003709163.1	3
XP_003709164.1	6
XP_003709165.1	12
XP_003709166.1	6
XP_003709167.1	2
XP_003709168.1	2
XP_003709169.1	2
XP_003709170.1	1
XP_003709171.1	1
XP_003709172.1	1
XP_003709173.1	2
XP_003709174.1	7
XP_003709175.1	1
XP_003709176.1	1
XP_003709177.1	12
XP_003709178.1	12
XP_003709179.1	11
XP_003709180.1	1
XP_003709181.1	1
XP_003709182.1	7
XP_003709183.1	2
XP_003709184.1	11
XP_003709185.1	6
XP_003709186.1	6
XP_003709187.1	6
XP_003709188.1	2
XP_003709189.1	12
XP_003709190.1	2
XP_003709191.1	1
XP_003709192.1	12
XP_003709193.1	1
XP_003709194.1	1
XP_003709195.1	1
XP_003709196.1	2
XP_003709197.1	1
XP_003709198.1	7
XP_003709199.1	2
XP_003709200.1	12
XP_003709201.1	11
XP_003709202.1	1
XP_003709203.1	1
XP_003709204.1	1
XP_003709205.1	11
XP_003709206.1	1
XP_003709207.1	1
XP_003709208.1	7
XP_003709209.1	2
XP_003709210.1	1
XP_003709211.1	2
XP_003709212.1	1
XP_003709213.1	11
XP_003709214.1	1
XP_003709215.1	2
XP_003709216.1	1
XP_003709217.1	1
XP_003709218.1	11
XP_003709219.1	1
XP_003709220.1	3
XP_003709221.1	1
XP_003709222.1	1
XP_003709223.1	2
XP_003709224.1	2
XP_003709225.1	7
XP_003709226.1	1
XP_003709227.1	1
XP_003709228.1	1
XP_003709229.1	1
XP_003709230.1	1
XP_003709231.1	1
XP_003709232.1	2
XP_003709233.1	1
XP_003709234.1	11
XP_003709235.1	11
XP_003709236.1	1
XP_003709237.1	2
XP_003709238.1	1
XP_003709239.1	1
XP_003709240.1	1
XP_003709241.1	1
XP_003709242.1	1
XP_003709243.1	1
XP_003709244.1	11
XP_003709245.1	2
XP_003709246.1	1
XP_003709247.1	1
XP_003709248.1	1
XP_003709249.1	1
XP_003709250.1	11
XP_003709251.1	1
XP_003709252.1	3
XP_003709253.1	2
XP_003709254.1	1
XP_003709255.1	1
XP_003709256.1	1
XP_003709257.1	1
XP_003709258.1	1
XP_003709259.1	1
XP_003709260.1	1
XP_003709261.1	1
XP_003709262.1	1
XP_003709263.1	1
XP_003709264.1	12
XP_003709265.1	1
XP_003709266.1	3
XP_003709267.1	2
XP_003709268.1	2
XP_003709269.1	1
XP_003709270.1	1
XP_003709271.1	2
XP_003709272.1	2
XP_003709273.1	1
XP_003709274.1	1
XP_003709275.1	2
XP_003709276.1	12
XP_003709277.1	2
XP_003709278.1	2
XP_003709279.1	1
XP_003709280.1	2
XP_003709281.1	2
XP_003709282.1	1
XP_003709283.1	1
XP_003709284.1	1
XP_003709285.1	2
XP_003709286.1	1
XP_003709287.1	2
XP_003709288.1	1
XP_003709289.1	6
XP_003709290.1	2
XP_003709291.1	9
XP_003709292.1	11
XP_003709293.1	1
XP_003709294.1	11
XP_003709295.1	1
XP_003709296.1	4
XP_003709297.1	3
XP_003709298.1	12
XP_003709299.1	1
XP_003709300.1	11
XP_003709301.1	12
XP_003709302.1	12
XP_003709303.1	11
XP_003709304.1	1
XP_003709305.1	12
XP_003709306.1	2
XP_003709307.1	12
XP_003709308.1	1
XP_003709309.1	1
XP_003709310.1	1
XP_003709311.1	1
XP_003709312.1	1
XP_003709313.1	1
XP_003709314.1	1
XP_003709315.1	2
XP_003709316.1	3
XP_003709317.1	1
XP_003709318.1	1
XP_003709319.1	1
XP_003709320.1	2
XP_003709321.1	3
XP_003709322.1	1
XP_003709323.1	2
XP_003709324.1	2
XP_003709325.1	2
XP_003709326.1	1
XP_003709327.1	1
XP_003709328.1	2
XP_003709329.1	1
XP_003709330.1	11
XP_003709331.1	3
XP_003709332.1	2
XP_003709333.1	1
XP_003709334.1	1
XP_003709335.1	1
XP_003709336.1	1
XP_003709337.1	1
XP_003709338.1	1
XP_003709339.1	3
XP_003709340.1	12
XP_003709341.1	2
XP_003709342.1	1
XP_003709343.1	11
XP_003709344.1	1
XP_003709345.1	1
XP_003709346.1	1
XP_003709347.1	12
XP_003709348.1	1
XP_003709349.1	2
XP_003709350.1	12
XP_003709351.1	2
XP_003709352.1	3
XP_003709353.1	1
XP_003709354.1	1
XP_003709355.1	2
XP_003709356.1	1
XP_003709357.1	2
XP_003709358.1	2
XP_003709359.1	2
XP_003709360.1	1
XP_003709361.1	2
XP_003709362.1	1
XP_003709363.1	11
XP_003709364.1	1
XP_003709365.1	1
XP_003709366.1	2
XP_003709367.1	1
XP_003709368.1	1
XP_003709369.1	1
XP_003709370.1	12
XP_003709371.1	2
XP_003709372.1	3
XP_003709373.1	2
XP_003709374.1	1
XP_003709375.1	1
XP_003709376.1	11
XP_003709377.1	12
XP_003709378.1	7
XP_003709379.1	1
XP_003709380.1	2
XP_003709381.1	1
XP_003709382.1	1
XP_003709383.1	1
XP_003709384.1	1
XP_003709385.1	1
XP_003709386.1	1
XP_003709387.1	1
XP_003709388.1	1
XP_003709389.1	1
XP_003709390.1	2
XP_003709391.1	1
XP_003709392.1	1
XP_003709393.1	1
XP_003709394.1	1
XP_003709395.1	3
XP_003709396.1	1
XP_003709397.1	2
XP_003709398.1	1
XP_003709399.1	1
XP_003709400.1	2
XP_003709401.1	6
XP_003709402.1	1
XP_003709403.1	1
XP_003709404.1	1
XP_003709405.1	1
XP_003709406.1	12
XP_003709407.1	11
XP_003709408.1	12
XP_003709409.1	2
XP_003709410.1	1
XP_003709411.1	12
XP_003709412.1	2
XP_003709413.1	1
XP_003709414.1	2
XP_003709415.1	1
XP_003709416.1	1
XP_003709417.1	6
XP_003709418.1	1
XP_003709419.1	2
XP_003709420.1	3
XP_003709421.1	3
XP_003709422.1	12
XP_003709423.1	1
XP_003709424.1	2
XP_003709425.1	2
XP_003709426.1	1
XP_003709427.1	2
XP_003709428.1	2
XP_003709429.1	1
XP_003709430.1	1
XP_003709431.1	1
XP_003709432.1	1
XP_003709433.1	1
XP_003709434.1	6
XP_003709435.1	3
XP_003709436.1	3
XP_003709437.1	1
XP_003709438.1	2
XP_003709439.1	1
XP_003709440.1	2
XP_003709441.1	3
XP_003709442.1	2
XP_003709443.1	3
XP_003709444.1	1
XP_003709445.1	2
XP_003709446.1	1
XP_003709447.1	1
XP_003709448.1	1
XP_003709449.1	1
XP_003709450.1	1
XP_003709451.1	9
XP_003709452.1	2
XP_003709453.1	3
XP_003709454.1	1
XP_003709455.1	2
XP_003709456.1	1
XP_003709457.1	1
XP_003709458.1	1
XP_003709459.1	6
XP_003709460.1	11
XP_003709461.1	1
XP_003709462.1	2
XP_003709463.1	1
XP_003709464.1	1
XP_003709465.1	6
XP_003709466.1	1
XP_003709467.1	11
XP_003709468.1	12
XP_003709469.1	1
XP_003709470.1	12
XP_003709471.1	1
XP_003709472.1	3
XP_003709473.1	1
XP_003709474.1	1
XP_003709475.1	11
XP_003709476.1	1
XP_003709477.1	3
XP_003709478.1	1
XP_003709479.1	1
XP_003709480.1	1
XP_003709481.1	1
XP_003709482.1	1
XP_003709483.1	1
XP_003709484.1	12
XP_003709485.1	6
XP_003709486.1	1
XP_003709487.1	1
XP_003709488.1	1
XP_003709489.1	12
XP_003709490.1	11
XP_003709491.1	7
XP_003709492.1	1
XP_003709493.1	1
XP_003709494.1	1
XP_003709495.1	1
XP_003709496.1	1
XP_003709497.1	1
XP_003709498.1	1
XP_003709499.1	2
XP_003709500.1	1
XP_003709501.1	1
XP_003709502.1	1
XP_003709503.1	1
XP_003709504.1	1
XP_003709505.1	1
XP_003709506.1	2
XP_003709507.1	2
XP_003709508.1	1
XP_003709509.1	6
XP_003709510.1	3
XP_003709511.1	1
XP_003709512.1	11
XP_003709513.1	2
XP_003709514.1	2
XP_003709515.1	1
XP_003709516.1	11
XP_003709517.1	2
XP_003709518.1	2
XP_003709519.1	12
XP_003709520.1	11
XP_003709521.1	11
XP_003709522.1	11
XP_003709523.1	3
XP_003709524.1	11
XP_003709525.1	12
XP_003709526.1	1
XP_003709527.1	11
XP_003709528.1	11
XP_003709529.1	2
XP_003709530.1	6
XP_003709531.1	12
XP_003709532.1	2
XP_003709533.1	7
XP_003709534.1	7
XP_003709535.1	6
XP_003709536.1	2
XP_003709537.1	1
XP_003709538.1	12
XP_003709539.1	1
XP_003709540.1	11
XP_003709541.1	11
XP_003709542.1	6
XP_003709543.1	4
XP_003709544.1	1
XP_003709545.1	1
XP_003709546.1	6
XP_003709547.1	11
XP_003709548.1	1
XP_003709549.1	2
XP_003709550.1	1
XP_003709551.1	11
XP_003709552.1	1
XP_003709553.1	1
XP_003709554.1	2
XP_003709555.1	1
XP_003709556.1	1
XP_003709557.1	12
XP_003709558.1	1
XP_003709559.1	2
XP_003709560.1	12
XP_003709561.1	4
XP_003709562.1	1
XP_003709563.1	2
XP_003709564.1	12
XP_003709565.1	11
XP_003709566.1	11
XP_003709567.1	1
XP_003709568.1	3
XP_003709569.1	1
XP_003709570.1	2
XP_003709571.1	3
XP_003709572.1	11
XP_003709573.1	1
XP_003709574.1	2
XP_003709575.1	6
XP_003709576.1	3
XP_003709577.1	2
XP_003709578.1	1
XP_003709579.1	12
XP_003709580.1	12
XP_003709581.1	1
XP_003709582.1	1
XP_003709583.1	1
XP_003709584.1	1
XP_003709585.1	1
XP_003709586.1	2
XP_003709587.1	12
XP_003709588.1	3
XP_003709589.1	2
XP_003709590.1	11
XP_003709591.1	12
XP_003709592.1	1
XP_003709593.1	2
XP_003709594.1	1
XP_003709595.1	11
XP_003709596.1	1
XP_003709597.1	2
XP_003709598.1	1
XP_003709599.1	1
XP_003709600.1	12
XP_003709601.1	1
XP_003709602.1	1
XP_003709603.1	2
XP_003709604.1	1
XP_003709605.1	1
XP_003709606.1	12
XP_003709607.1	1
XP_003709608.1	2
XP_003709609.1	1
XP_003709610.1	1
XP_003709611.1	3
XP_003709612.1	1
XP_003709613.1	1
XP_003709614.1	1
XP_003709615.1	1
XP_003709616.1	1
XP_003709617.1	2
XP_003709618.1	1
XP_003709619.1	11
XP_003709620.1	1
XP_003709621.1	1
XP_003709622.1	1
XP_003709623.1	1
XP_003709624.1	1
XP_003709625.1	11
XP_003709626.1	11
XP_003709627.1	11
XP_003709628.1	12
XP_003709629.1	1
XP_003709630.1	12
XP_003709631.1	12
XP_003709632.1	12
XP_003709633.1	3
XP_003709634.1	2
XP_003709635.1	3
XP_003709636.1	11
XP_003709637.1	6
XP_003709638.1	2
XP_003709639.1	1
XP_003709640.1	1
XP_003709641.1	2
XP_003709642.1	1
XP_003709643.1	1
XP_003709644.1	1
XP_003709645.1	1
XP_003709646.1	2
XP_003709647.1	1
XP_003709648.1	1
XP_003709649.1	2
XP_003709650.1	1
XP_003709651.1	2
XP_003709652.1	1
XP_003709653.1	11
XP_003709654.1	7
XP_003709655.1	1
XP_003709656.1	1
XP_003709657.1	1
XP_003709658.1	1
XP_003709659.1	1
XP_003709660.1	12
XP_003709661.1	1
XP_003709662.1	1
XP_003709663.1	12
XP_003709664.1	1
XP_003709665.1	1
XP_003709666.1	2
XP_003709667.1	1
XP_003709668.1	7
XP_003709669.1	1
XP_003709670.1	1
XP_003709671.1	2
XP_003709672.1	1
XP_003709673.1	2
XP_003709674.1	12
XP_003709675.1	1
XP_003709676.1	1
XP_003709677.1	1
XP_003709678.1	2
XP_003709679.1	1
XP_003709680.1	2
XP_003709681.1	1
XP_003709682.1	2
XP_003709683.1	2
XP_003709684.1	1
XP_003709685.1	1
XP_003709686.1	11
XP_003709687.1	12
XP_003709688.1	1
XP_003709689.1	1
XP_003709690.1	3
XP_003709691.1	1
XP_003709692.1	1
XP_003709693.1	1
XP_003709694.1	1
XP_003709695.1	3
XP_003709696.1	1
XP_003709697.1	6
XP_003709698.1	12
XP_003709699.1	2
XP_003709700.1	6
XP_003709701.1	11
XP_003709702.1	1
XP_003709703.1	12
XP_003709704.1	1
XP_003709705.1	1
XP_003709706.1	2
XP_003709707.1	2
XP_003709708.1	1
XP_003709709.1	7
XP_003709710.1	2
XP_003709711.1	1
XP_003709712.1	2
XP_003709713.1	2
XP_003709714.1	1
XP_003709715.1	12
XP_003709716.1	11
XP_003709717.1	11
XP_003709718.1	11
XP_003709719.1	1
XP_003709720.1	11
XP_003709721.1	1
XP_003709722.1	11
XP_003709723.1	1
XP_003709724.1	3
XP_003709725.1	12
XP_003709726.1	1
XP_003709727.1	1
XP_003709728.1	1
XP_003709729.1	1
XP_003709730.1	1
XP_003709731.1	1
XP_003709732.1	1
XP_003709733.1	1
XP_003709734.1	11
XP_003709735.1	1
XP_003709736.1	1
XP_003709737.1	11
XP_003709738.1	7
XP_003709739.1	11
XP_003709740.1	1
XP_003709741.1	1
XP_003709742.1	12
XP_003709743.1	7
XP_003709744.1	2
XP_003709745.1	1
XP_003709746.1	12
XP_003709747.1	1
XP_003709748.1	9
XP_003709749.1	3
XP_003709750.1	1
XP_003709751.1	2
XP_003709752.1	1
XP_003709753.1	2
XP_003709754.1	3
XP_003709755.1	1
XP_003709756.1	1
XP_003709757.1	12
XP_003709758.1	11
XP_003709759.1	1
XP_003709760.1	12
XP_003709761.1	11
XP_003709762.1	6
XP_003709763.1	1
XP_003709764.1	1
XP_003709765.1	1
XP_003709766.1	1
XP_003709767.1	1
XP_003709768.1	2
XP_003709769.1	1
XP_003709770.1	1
XP_003709771.1	6
XP_003709772.1	1
XP_003709773.1	2
XP_003709774.1	1
XP_003709775.1	11
XP_003709776.1	3
XP_003709777.1	1
XP_003709778.1	2
XP_003709779.1	2
XP_003709780.1	1
XP_003709781.1	11
XP_003709782.1	1
XP_003709783.1	1
XP_003709784.1	12
XP_003709785.1	2
XP_003709786.1	1
XP_003709787.1	11
XP_003709788.1	1
XP_003709789.1	6
XP_003709790.1	1
XP_003709791.1	2
XP_003709792.1	1
XP_003709793.1	3
XP_003709794.1	11
XP_003709795.1	1
XP_003709796.1	6
XP_003709797.1	1
XP_003709798.1	1
XP_003709799.1	12
XP_003709800.1	2
XP_003709801.1	1
XP_003709802.1	1
XP_003709803.1	1
XP_003709804.1	1
XP_003709805.1	1
XP_003709806.1	12
XP_003709807.1	1
XP_003709808.1	1
XP_003709809.1	3
XP_003709810.1	7
XP_003709811.1	12
XP_003709812.1	1
XP_003709813.1	2
XP_003709814.1	1
XP_003709815.1	1
XP_003709816.1	12
XP_003709817.1	11
XP_003709818.1	11
XP_003709819.1	3
XP_003709820.1	1
XP_003709821.1	2
XP_003709822.1	2
XP_003709823.1	12
XP_003709824.1	12
XP_003709825.1	12
XP_003709826.1	1
XP_003709827.1	1
XP_003709828.1	1
XP_003709829.1	1
XP_003709830.1	1
XP_003709831.1	1
XP_003709832.1	1
XP_003709833.1	1
XP_003709834.1	3
XP_003709835.1	2
XP_003709836.1	2
XP_003709837.1	1
XP_003709838.1	1
XP_003709839.1	3
XP_003709840.1	11
XP_003709841.1	1
XP_003709842.1	1
XP_003709843.1	1
XP_003709844.1	1
XP_003709845.1	1
XP_003709846.1	1
XP_003709847.1	1
XP_003709848.1	3
XP_003709849.1	11
XP_003709850.1	1
XP_003709851.1	1
XP_003709852.1	3
XP_003709853.1	12
XP_003709854.1	1
XP_003709855.1	3
XP_003709856.1	1
XP_003709857.1	1
XP_003709858.1	2
XP_003709859.1	1
XP_003709860.1	1
XP_003709861.1	1
XP_003709862.1	12
XP_003709863.1	1
XP_003709864.1	1
XP_003709865.1	12
XP_003709866.1	11
XP_003709867.1	1
XP_003709868.1	2
XP_003709869.1	1
XP_003709870.1	3
XP_003709871.1	12
XP_003709872.1	12
XP_003709873.1	1
XP_003709874.1	6
XP_003709875.1	3
XP_003709876.1	1
XP_003709877.1	1
XP_003709878.1	11
XP_003709879.1	4
XP_003709880.1	12
XP_003709881.1	2
XP_003709882.1	11
XP_003709883.1	2
XP_003709884.1	2
XP_003709885.1	1
XP_003709886.1	3
XP_003709887.1	2
XP_003709888.1	11
XP_003709889.1	11
XP_003709890.1	12
XP_003709891.1	1
XP_003709892.1	2
XP_003709893.1	11
XP_003709894.1	3
XP_003709895.1	2
XP_003709896.1	2
XP_003709897.1	11
XP_003709898.1	12
XP_003709899.1	1
XP_003709900.1	3
XP_003709901.1	6
XP_003709902.1	11
XP_003709903.1	1
XP_003709904.1	7
XP_003709905.1	12
XP_003709906.1	2
XP_003709907.1	1
XP_003709907.1	2
XP_003709908.1	6
XP_003709909.1	1
XP_003709910.1	7
XP_003709911.1	12
XP_003709912.1	11
XP_003709913.1	12
XP_003709914.1	11
XP_003709915.1	2
XP_003709916.1	2
XP_003709917.1	1
XP_003709918.1	2
XP_003709919.1	11
XP_003709920.1	11
XP_003709921.1	6
XP_003709922.1	11
XP_003709923.1	11
XP_003709924.1	2
XP_003709925.1	11
XP_003709926.1	2
XP_003709927.1	1
XP_003709928.1	1
XP_003709929.1	1
XP_003709930.1	1
XP_003709931.1	3
XP_003709932.1	11
XP_003709933.1	1
XP_003709934.1	1
XP_003709935.1	11
XP_003709936.1	2
XP_003709937.1	12
XP_003709938.1	1
XP_003709939.1	1
XP_003709940.1	1
XP_003709941.1	1
XP_003709942.1	1
XP_003709943.1	1
XP_003709944.1	1
XP_003709945.1	1
XP_003709946.1	1
XP_003709947.1	3
XP_003709948.1	1
XP_003709949.1	1
XP_003709950.1	1
XP_003709951.1	1
XP_003709952.1	2
XP_003709953.1	11
